--------------------
BDMEP - INMET
--------------------
Estação           : FORTALEZA - CE (OMM: 82397)
Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Altitude  (metros): 26.45
Estação Operante
Inicio de operação: 27/10/1919
Periodo solicitado dos dados: 01/01/1986 a 31/12/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;VelocidadeVento
82397;01/01/1986;0000;1.1;
82397;01/01/1990;1200;4.5;
82397;01/01/1990;1800;4.5;
82397;02/01/1990;0000;2.8;
82397;02/01/1990;1200;2.6;
82397;02/01/1990;1800;4.1;
82397;03/01/1990;0000;3.1;
82397;03/01/1990;1200;3.5;
82397;03/01/1990;1800;5;
82397;04/01/1990;0000;3.1;
82397;04/01/1990;1200;4.5;
82397;04/01/1990;1800;3.3;
82397;05/01/1990;0000;1.3;
82397;05/01/1990;1200;4;
82397;05/01/1990;1800;4;
82397;06/01/1990;0000;4;
82397;06/01/1990;1200;0.3;
82397;06/01/1990;1800;5.5;
82397;07/01/1990;0000;0.3;
82397;07/01/1990;1200;5.3;
82397;07/01/1990;1800;5;
82397;08/01/1990;0000;0.5;
82397;08/01/1990;1200;2;
82397;08/01/1990;1800;5;
82397;09/01/1990;0000;1.5;
82397;09/01/1990;1200;2;
82397;09/01/1990;1800;3.3;
82397;10/01/1990;0000;0;
82397;10/01/1990;1200;2.3;
82397;10/01/1990;1800;4.8;
82397;11/01/1990;0000;1.6;
82397;11/01/1990;1200;5;
82397;11/01/1990;1800;6.1;
82397;12/01/1990;0000;3;
82397;12/01/1990;1200;2.8;
82397;12/01/1990;1800;5;
82397;13/01/1990;0000;3.5;
82397;13/01/1990;1200;3.3;
82397;13/01/1990;1800;5;
82397;14/01/1990;0000;1.1;
82397;14/01/1990;1200;0.5;
82397;14/01/1990;1800;0.8;
82397;15/01/1990;0000;3;
82397;15/01/1990;1200;4.6;
82397;15/01/1990;1800;6.1;
82397;16/01/1990;0000;2.6;
82397;16/01/1990;1200;3.3;
82397;16/01/1990;1800;3.6;
82397;17/01/1990;0000;1.5;
82397;17/01/1990;1200;5.3;
82397;17/01/1990;1800;5;
82397;18/01/1990;0000;3.3;
82397;18/01/1990;1200;3.5;
82397;18/01/1990;1800;5;
82397;19/01/1990;0000;2.1;
82397;19/01/1990;1200;3.3;
82397;19/01/1990;1800;3.8;
82397;20/01/1990;0000;2.5;
82397;20/01/1990;1200;3.8;
82397;20/01/1990;1800;5;
82397;21/01/1990;0000;2.3;
82397;21/01/1990;1200;3.8;
82397;21/01/1990;1800;5;
82397;22/01/1990;0000;3.1;
82397;22/01/1990;1200;3.3;
82397;22/01/1990;1800;4.5;
82397;23/01/1990;0000;1.3;
82397;23/01/1990;1200;3.1;
82397;23/01/1990;1800;3.6;
82397;24/01/1990;0000;0.8;
82397;24/01/1990;1200;4.6;
82397;24/01/1990;1800;4.6;
82397;25/01/1990;0000;1;
82397;25/01/1990;1200;3.2;
82397;25/01/1990;1800;5.8;
82397;26/01/1990;0000;0.7;
82397;26/01/1990;1200;4.1;
82397;26/01/1990;1800;4.6;
82397;27/01/1990;0000;2.8;
82397;27/01/1990;1200;3.1;
82397;27/01/1990;1800;0.5;
82397;28/01/1990;0000;4.8;
82397;28/01/1990;1200;4.6;
82397;28/01/1990;1800;5.1;
82397;29/01/1990;0000;3.3;
82397;29/01/1990;1200;4.1;
82397;29/01/1990;1800;3.6;
82397;30/01/1990;0000;1.5;
82397;30/01/1990;1200;4.6;
82397;30/01/1990;1800;5;
82397;31/01/1990;0000;1.5;
82397;31/01/1990;1200;2.1;
82397;31/01/1990;1800;5;
82397;01/02/1990;0000;1;
82397;01/11/1993;1200;4;
82397;01/11/1993;1800;4.3;
82397;02/11/1993;0000;2;
82397;02/11/1993;1200;3.8;
82397;02/11/1993;1800;4.8;
82397;03/11/1993;0000;2.1;
82397;03/11/1993;1200;3.3;
82397;03/11/1993;1800;3.3;
82397;04/11/1993;0000;2;
82397;04/11/1993;1200;5.1;
82397;04/11/1993;1800;6.1;
82397;05/11/1993;0000;3.3;
82397;05/11/1993;1200;5.1;
82397;05/11/1993;1800;6.1;
82397;06/11/1993;0000;3.3;
82397;06/11/1993;1200;4.6;
82397;06/11/1993;1800;5.8;
82397;07/11/1993;0000;3.8;
82397;07/11/1993;1200;5.3;
82397;07/11/1993;1800;5.5;
82397;08/11/1993;0000;3.3;
82397;08/11/1993;1200;5;
82397;08/11/1993;1800;5.8;
82397;09/11/1993;0000;4.8;
82397;09/11/1993;1200;5.1;
82397;09/11/1993;1800;4.3;
82397;10/11/1993;0000;4.8;
82397;10/11/1993;1200;7;
82397;10/11/1993;1800;5.1;
82397;11/11/1993;0000;3.6;
82397;11/11/1993;1200;4.1;
82397;11/11/1993;1800;6.1;
82397;12/11/1993;0000;2.6;
82397;12/11/1993;1200;5.6;
82397;12/11/1993;1800;6.6;
82397;13/11/1993;0000;3.3;
82397;13/11/1993;1200;5.6;
82397;13/11/1993;1800;6.5;
82397;14/11/1993;0000;3.5;
82397;14/11/1993;1200;5.6;
82397;14/11/1993;1800;6.8;
82397;15/11/1993;0000;2.6;
82397;15/11/1993;1200;4;
82397;15/11/1993;1800;5.8;
82397;16/11/1993;0000;2.8;
82397;16/11/1993;1200;5.5;
82397;16/11/1993;1800;5.5;
82397;17/11/1993;0000;3.6;
82397;17/11/1993;1200;3;
82397;17/11/1993;1800;3.6;
82397;18/11/1993;0000;3.8;
82397;18/11/1993;1200;5.8;
82397;18/11/1993;1800;5.6;
82397;19/11/1993;0000;2.5;
82397;19/11/1993;1200;5;
82397;19/11/1993;1800;4.6;
82397;20/11/1993;0000;3;
82397;20/11/1993;1200;5;
82397;20/11/1993;1800;4.5;
82397;21/11/1993;0000;2.8;
82397;21/11/1993;1200;4.5;
82397;21/11/1993;1800;5.3;
82397;22/11/1993;0000;2;
82397;22/11/1993;1200;4.3;
82397;22/11/1993;1800;3;
82397;23/11/1993;0000;2.6;
82397;23/11/1993;1200;4.5;
82397;23/11/1993;1800;5.8;
82397;24/11/1993;0000;4.1;
82397;24/11/1993;1200;5.3;
82397;24/11/1993;1800;5.1;
82397;25/11/1993;0000;4.6;
82397;25/11/1993;1200;4.6;
82397;25/11/1993;1800;4.1;
82397;26/11/1993;0000;3.1;
82397;26/11/1993;1200;4.6;
82397;26/11/1993;1800;5;
82397;27/11/1993;0000;3.8;
82397;27/11/1993;1200;4.8;
82397;27/11/1993;1800;4.1;
82397;28/11/1993;0000;3;
82397;28/11/1993;1200;3.3;
82397;28/11/1993;1800;4.6;
82397;29/11/1993;0000;2.1;
82397;29/11/1993;1200;4.1;
82397;29/11/1993;1800;3.8;
82397;30/11/1993;0000;1.5;
82397;30/11/1993;1200;4.5;
82397;30/11/1993;1800;5.5;
82397;01/12/1993;0000;2.5;
82397;01/01/1994;1200;1.1;
82397;01/01/1994;1800;4.3;
82397;02/01/1994;0000;0.7;
82397;02/01/1994;1200;0.7;
82397;02/01/1994;1800;0.7;
82397;03/01/1994;0000;1.5;
82397;03/01/1994;1200;4.5;
82397;03/01/1994;1800;4.3;
82397;04/01/1994;0000;2;
82397;04/01/1994;1200;4.6;
82397;04/01/1994;1800;3.1;
82397;05/01/1994;0000;0.8;
82397;05/01/1994;1200;0;
82397;05/01/1994;1800;1.5;
82397;06/01/1994;0000;1.1;
82397;06/01/1994;1200;2.3;
82397;06/01/1994;1800;5.3;
82397;07/01/1994;0000;0.3;
82397;07/01/1994;1200;3.3;
82397;07/01/1994;1800;4.5;
82397;08/01/1994;0000;1.3;
